source,target,sign,weight,evidence
ERALPHA,PGR,Activator,4.349692476865906,CUT&RUN_FDR<0.05
ERALPHA,PGR,Activator,4.294992040664762,CUT&RUN_FDR<0.05
ERALPHA,PGR,Activator,3.0231916626618323,CUT&RUN_FDR<0.05
ERALPHA,PGR,Activator,2.876148359032842,CUT&RUN_FDR<0.05
ERALPHA,NR2F1,Repressor,2.1034737825104326,CUT&RUN_FDR<0.05
ERALPHA,ODC1,Activator,1.5228787452803343,CUT&RUN_FDR<0.05
ERALPHA,SOX18,Activator,1.468521082957742,CUT&RUN_FDR<0.05
ERALPHA,RREB1,Repressor,1.4056074496245707,CUT&RUN_FDR<0.05
ERALPHA,ZXDC,Activator,2.337242168318405,CUT&RUN_FDR<0.05
ERALPHA,ZSCAN20,Repressor,2.0963674839157505,CUT&RUN_FDR<0.05
ERALPHA,SMAD3,Activator,2.9871627752947343,CUT&RUN_FDR<0.05
ERALPHA,MYCN,Activator,5.001304841678672,CUT&RUN_FDR<0.05
ERALPHA,ZMAT4,Activator,2.4801720062242523,CUT&RUN_FDR<0.05
ERALPHA,ZMAT4,Activator,1.9546770212133338,CUT&RUN_FDR<0.05
ERALPHA,PROX1,Repressor,2.0690509688324656,CUT&RUN_FDR<0.05
ERALPHA,SALL1,Activator,2.270835210307212,CUT&RUN_FDR<0.05
ERALPHA,FOXQ1,Activator,2.488116639021096,CUT&RUN_FDR<0.05
ERALPHA,EPAS1,Activator,4.709965388632536,CUT&RUN_FDR<0.05
ERALPHA,AGAP2,Activator,1.5850266520291783,CUT&RUN_FDR<0.05
ERALPHA,AR,Repressor,2.1378686206869495,CUT&RUN_FDR<0.05
ERALPHA,CREB1,Repressor,1.6946486305533714,CUT&RUN_FDR<0.05
ERALPHA,DUSP26,Repressor,2.029188389127472,CUT&RUN_FDR<0.05
ERALPHA,EGR3,Activator,1.6655462488490647,CUT&RUN_FDR<0.05
ERALPHA,FOXN2,Repressor,4.430626090382355,CUT&RUN_FDR<0.05
ERALPHA,ID4,Repressor,3.024568191490635,CUT&RUN_FDR<0.05
ERALPHA,IKZF2,Repressor,2.4259687322722554,CUT&RUN_FDR<0.05
ERALPHA,JAZF1,Activator,1.9788107009300526,CUT&RUN_FDR<0.05
ERALPHA,KCNIP1,Activator,2.2118316288588167,CUT&RUN_FDR<0.05
ERALPHA,KLF12,Activator,2.7099653886374324,CUT&RUN_FDR<0.05
ERALPHA,KLF12,Activator,1.3788237182249625,CUT&RUN_FDR<0.05
ERALPHA,KLF4,Repressor,2.5171264163912146,CUT&RUN_FDR<0.05
ERALPHA,KLF5,Activator,1.9208187539523671,CUT&RUN_FDR<0.05
ERALPHA,KLF6,Repressor,1.8996294548824295,CUT&RUN_FDR<0.05
ERALPHA,LHX8,Repressor,1.3115801779972873,CUT&RUN_FDR<0.05
ERALPHA,LUZP2,Activator,4.253365801060693,CUT&RUN_FDR<0.05
ERALPHA,MAFB,Activator,2.5331323796458576,CUT&RUN_FDR<0.05
ERALPHA,MBNL2,Activator,2.2572748686952844,CUT&RUN_FDR<0.05
ERALPHA,MEF2A,Repressor,2.4571745730407923,CUT&RUN_FDR<0.05
ERALPHA,PAXIP1,Activator,3.9586073148408985,CUT&RUN_FDR<0.05
ERALPHA,PBX1,Repressor,3.3595185630293574,CUT&RUN_FDR<0.05
