source,target,weight,evidence,sign,input_form,log2FC,padj
ERalpha,PGR,4,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.723678645939088,0.0404340323584655
ERalpha,NR2F1,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.807141522428094,0.0732340700681788
ERalpha,ODC1,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.714084542246331,0.176329634566124
ERalpha,SOX18,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,1.43359180956965,0.258748208074183
ERalpha,RREB1,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.50915394058327,0.474959717039551
ERalpha,ZXDC,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.633612769239913,0.542746668754725
ERalpha,ZSCAN20,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-1.12327589395372,0.619468363202423
ERalpha,SMAD3,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.451172799128478,0.690265714696507
ERalpha,MYCN,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.897694801351382,0.714169565581883
ERalpha,ZMAT4,2,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.629697279975319,0.808973509371165
ERalpha,PROX1,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.503059507129288,0.867134737560008
ERalpha,SALL1,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.62015433032226,0.921469228070802
ERalpha,FOXQ1,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,1.01427064319454,0.983422362305592
ERalpha,EPAS1,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.252713577550358,0.999691877886574
ERalpha,AGAP2,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.021390742388425,0.999941599553479
ERalpha,AR,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.00255775267488068,0.999941599553479
ERalpha,CREB1,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.0252271138242593,0.999941599553479
ERalpha,DUSP26,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.2467900663987,0.999941599553479
ERalpha,EGR3,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.27037929383454,0.999941599553479
ERalpha,FOXN2,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.0379083526727097,0.999941599553479
ERalpha,ID4,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.134526614807874,0.999941599553479
ERalpha,IKZF2,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.354150201402364,0.999941599553479
ERalpha,JAZF1,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.0225135079597425,0.999941599553479
ERalpha,KCNIP1,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.114305486432134,0.999941599553479
ERalpha,KLF12,2,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.138517492587003,0.999941599553479
ERalpha,KLF4,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.320231323646525,0.999941599553479
ERalpha,KLF5,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.118523597354843,0.999941599553479
ERalpha,KLF6,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.103629763081856,0.999941599553479
ERalpha,LHX8,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.726810393917343,0.999941599553479
ERalpha,LUZP2,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.0964110594483004,0.999941599553479
ERalpha,MAFB,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.443662537950931,0.999941599553479
ERalpha,MBNL2,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.13614955097385,0.999941599553479
ERalpha,MEF2A,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.0113613647006965,0.999941599553479
ERalpha,PAXIP1,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.131795442961156,0.999941599553479
ERalpha,PBX1,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.163473045516684,0.999941599553479
ERalpha,PIK3C3,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.283793003607268,0.999941599553479
ERalpha,POLE4,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.122644820048659,0.999941599553479
ERalpha,POU2F1,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.0263436102598446,0.999941599553479
ERalpha,PRDM13,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.223377841039403,0.999941599553479
ERalpha,RARA,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.301776664854008,0.999941599553479
ERalpha,RBFOX2,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.0442446066467563,0.999941599553479
ERalpha,THOC2,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.0882803291518897,0.999941599553479
ERalpha,TRPS1,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.128238831219419,0.999941599553479
ERalpha,UBP1,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.125105562584564,0.999941599553479
ERalpha,ZBTB20,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.0284076175010607,0.999941599553479
ERalpha,ZBTB46,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.284378318274189,0.999941599553479
ERalpha,ZFHX3,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.0796328232182783,0.999941599553479
ERalpha,ZFP831,1,CUT&RUN_FDR<0.05,Activator,Hill_activator,0.154304831491381,0.999941599553479
ERalpha,ZIC3,1,CUT&RUN_FDR<0.05,Repressor,Hill_repressor,-0.357209597205335,0.999941599553479
NR2F1,AHDC1,1,DoRothEA_confC,Activator,Hill_activator,0.484249551395883,0.0200775415487182
RARA,NRIP1,3,DoRothEA_confA,Activator,Hill_activator,0.575154995094646,0.0594062795260415
CREB1,CYP19A1,3,DoRothEA_confA,Activator,Hill_activator,-1.66629371718077,0.061199941663694
NR2F1,CYP19A1,1,DoRothEA_confC,Repressor,Hill_repressor,-1.66629371718077,0.061199941663694
PGR,CYP19A1,3,DoRothEA_confA,Repressor,Hill_repressor,-1.66629371718077,0.061199941663694
EPAS1,ADORA2A,3,DoRothEA_confA,Activator,Hill_activator,2.15560608620735,0.0620867836799223
KLF6,TSPAN14,1,DoRothEA_confC,Activator,Hill_activator,-1.92266590554745,0.129832905660513
AR,DHX15,3,DoRothEA_confA,Activator,Hill_activator,-0.448724200706506,0.157515133487882
CREB1,ODC1,3,DoRothEA_confA,Activator,Hill_activator,0.714084542246331,0.176329634566124
KLF6,ETS2,1,DoRothEA_confC,Activator,Hill_activator,0.481357230402166,0.179693760980023
AR,PTPRM,3,DoRothEA_confA,Activator,Hill_activator,-0.582972179286386,0.207434181267047
KLF5,SPIRE2,1,DoRothEA_confC,Activator,Hill_activator,1.33128694861574,0.208821333361372
EPAS1,SERPINE1,3,DoRothEA_confA,Activator,Hill_activator,1.92436258492392,0.210381094367765
