ASTAR: Stopping Powers and Range Tables for Alpha Particles

WATER, LIQUID                                                           

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	9.891E+01	2.282E+02	3.271E+02	
1.500E-03	1.227E+02	2.078E+02	3.305E+02	
2.000E-03	1.431E+02	1.912E+02	3.342E+02	
2.500E-03	1.611E+02	1.775E+02	3.386E+02	
3.000E-03	1.775E+02	1.660E+02	3.435E+02	
4.000E-03	2.069E+02	1.477E+02	3.546E+02	
5.000E-03	2.330E+02	1.336E+02	3.667E+02	
6.000E-03	2.568E+02	1.225E+02	3.793E+02	
7.000E-03	2.788E+02	1.133E+02	3.921E+02	
8.000E-03	2.993E+02	1.056E+02	4.049E+02	
9.000E-03	3.186E+02	9.908E+01	4.177E+02	
1.000E-02	3.370E+02	9.341E+01	4.304E+02	
1.250E-02	3.795E+02	8.206E+01	4.615E+02	
1.500E-02	4.181E+02	7.347E+01	4.916E+02	
1.750E-02	4.538E+02	6.671E+01	5.205E+02	
2.000E-02	4.871E+02	6.123E+01	5.484E+02	
2.250E-02	5.186E+02	5.667E+01	5.752E+02	
2.500E-02	5.483E+02	5.282E+01	6.012E+02	
2.750E-02	5.767E+02	4.952E+01	6.263E+02	
3.000E-02	6.039E+02	4.665E+01	6.506E+02	
3.500E-02	6.552E+02	4.189E+01	6.971E+02	
4.000E-02	7.030E+02	3.811E+01	7.411E+02	
4.500E-02	7.480E+02	3.501E+01	7.830E+02	
5.000E-02	7.905E+02	3.242E+01	8.230E+02	
5.500E-02	8.310E+02	3.023E+01	8.612E+02	
6.000E-02	8.696E+02	2.834E+01	8.980E+02	
6.500E-02	9.066E+02	2.669E+01	9.333E+02	
7.000E-02	9.422E+02	2.524E+01	9.674E+02	
7.500E-02	9.764E+02	2.396E+01	1.000E+03	
8.000E-02	1.009E+03	2.281E+01	1.032E+03	
8.500E-02	1.041E+03	2.178E+01	1.063E+03	
9.000E-02	1.072E+03	2.084E+01	1.093E+03	
9.500E-02	1.102E+03	1.999E+01	1.122E+03	
1.000E-01	1.131E+03	1.921E+01	1.151E+03	
1.250E-01	1.265E+03	1.614E+01	1.281E+03	
1.500E-01	1.383E+03	1.397E+01	1.397E+03	
1.750E-01	1.488E+03	1.235E+01	1.500E+03	
2.000E-01	1.582E+03	1.109E+01	1.593E+03	
2.250E-01	1.666E+03	1.008E+01	1.677E+03	
2.500E-01	1.743E+03	9.253E+00	1.752E+03	
